TABLE_REF,MODEL_TAG
analytics.analytics_engineering_data_pipeline.registry_stg_lineitem,sales
analytics.analytics_engineering_data_pipeline.registry_stg_orders,sales
analytics.analytics_engineering_data_pipeline.fct_sales,sales
analytics.analytics_engineering_data_pipeline.fct_orders,sales
analytics.analytics_engineering_data_pipeline.registry_stg_part,products
analytics.analytics_engineering_data_pipeline.registry_stg_partsupp,products
analytics.analytics_engineering_data_pipeline.dim_part,products
analytics.analytics_engineering_data_pipeline.fct_inventory,products
analytics.analytics_engineering_data_pipeline.stg_nation,places
analytics.analytics_engineering_data_pipeline.stg_region,places
analytics.analytics_engineering_data_pipeline.int_nation,places
analytics.analytics_engineering_data_pipeline.registry_stg_customer,individuals
analytics.analytics_engineering_data_pipeline.registry_stg_supplier,individuals
analytics.analytics_engineering_data_pipeline.dim_customer,individuals
analytics.analytics_engineering_data_pipeline.dim_supplier,individuals
